node1_uniprot_id,node2_uniprot_id
P31749,Q13501
P31749,P11511
P31749,O14788
P31749,Q13233
P31749,P03372
P31749,P38398
P31749,Q06609
P31749,P16284
P31749,P16410
Q13315,P24385
Q13315,Q9BX63
Q13315,Q99728
Q13315,Q86YC2
Q13315,P01133
Q13315,O60934
Q13315,P00533
Q13315,P06127
Q13315,Q13233
Q13315,Q15303
Q13315,Q8NCD3
Q13315,P03372
Q13315,P21802
Q13315,O43543
Q13315,P01106
Q13315,Q15831
Q13315,P60484
Q13315,O43542
Q13315,O43502
Q13315,Q13501
Q13315,P51587
Q13315,Q06609
Q13315,P38398
Q13315,O96017
Q13315,P49959
Q99728,Q9GZX5
Q99728,P13647
Q99728,Q9BX63
Q99728,O14746
Q99728,P55072
Q99728,P04626
Q99728,P60484
Q99728,P06401
Q99728,Q15831
Q99728,P03372
Q99728,O43543
Q99728,O43542
Q99728,O96017
Q99728,O43502
Q99728,P04637
Q99728,Q86YC2
Q99728,O60934
Q99728,Q06609
Q99728,P51587
Q99728,P49959
Q99728,P38398
P38398,O15405
P38398,P24385
P38398,Q9GZX5
P38398,P13647
P38398,Q9BX63
P38398,Q86YC2
P38398,P12830
P38398,P01133
P38398,O60934
P38398,P04637
P38398,P04626
P38398,P00533
P38398,O14746
P38398,Q15831
P38398,P06401
P38398,P49959
P38398,O43502
P38398,Q15303
P38398,Q14790
P38398,P55072
P38398,O43543
P38398,P60484
P38398,Q93074
P38398,P51587
P38398,P33241
P38398,O96017
P38398,Q13501
P38398,P41212
P38398,P11511
P38398,Q13233
P38398,P03372
P38398,P21802
P38398,Q8NCD3
P38398,P42771
P38398,P16410
P38398,O43542
P38398,P01106
P38398,Q06609
P51587,O15405
P51587,P24385
P51587,Q9GZX5
P51587,P13647
P51587,Q9BX63
P51587,Q86YC2
P51587,P01133
P51587,O60934
P51587,Q15831
P51587,P06401
P51587,P49959
P51587,O43502
P51587,Q15303
P51587,O43543
P51587,P60484
P51587,P16410
P51587,O14788
P51587,P11511
P51587,P21802
P51587,Q13233
P51587,P33241
P51587,P03372
P51587,P42771
P51587,O96017
P51587,Q06609
P51587,O43542
Q9BX63,Q9GZX5
Q9BX63,O14746
Q9BX63,P04637
Q9BX63,O96017
